CGa,100.0,0,0,0
FMa,100.0,690.0888816666667,690.0888816666667,0
CGc,100.0,0,0,0
CGb,100.0,0,0,0
MGa,100.0,0,0,0
XXa,100.0,0,0,0
GEc,100.0,0,0,0
GEb,100.0,0,0,0
GEa,100.0,0,0,0
LEc,100.0,0,0,0
SEc,100.0,0,0,0
SEb,100.0,0,0,0
TFb,100.0,0,0,0
GEd,100.0,0,0,0
XXb,100.0,0,0,0
CFc,100.0,0,0,0
ZZd,100.0,0,0,0
ZZc,100.0,0,0,0
ZZb,100.0,0,0,0
HTb,100.0,0,0,0
ACc,100.0,0,0,0
ACb,100.0,0,0,0
ACa,100.0,0,0,0
HTa,100.0,0,0,0
KEb,100.0,0,0,0
RFb,100.0,0,0,0
ZZe,100.0,0,0,0
KVa,100.0,0,0,0
EIa,100.0,0,0,0
EIc,100.0,0,0,0
EIb,100.0,0,0,0
ERa,100.0,0,0,0
ISa,100.0,0,0,0
ENa,100.0,0,0,0
SMc,100.0,0,0,0
SMb,100.0,0,0,0
MSa,100.0,0,0,0
HEa,100.0,0,0,0
MGc,100.0,0,0,0
LEb,100.0,0,0,0
HTd,100.0,0,0,0
HTc,100.0,0,0,0
CDa,100.0,0,0,0
CDb,100.0,0,0,0
CDc,100.0,0,0,0
FIp,100.0,0,0,0
TFa,100.0,0,0,0
CFb,100.0,14.180891388888892,14.180891388888892,0
ENb,100.0,0,0,0
KEa,100.0,0,0,0
CFa,100.0,0,0,0
fjse,100.0,0.32734361111111115,0.32734361111111115,0
ICb,100.0,0,0,0
INh,100.0,0,0,0
MCa,100.0,0,0,0
YYb,100.0,0,0,0
INf,100.0,0,0,0
INg,100.0,0,0,0
INa,100.0,0,0,0
BRa,100.0,0,0,0
FIr,100.0,459.9731202777777,459.9731202777777,0
BFb,100.0,0,0,0
BFa,100.0,0,0,0
SMd,100.0,0,0,0
FEb,100.0,0,0,0
FEa,100.0,0,0,0
FMb,100.0,0,0,0
ICa,100.0,0,0,0
MHc,100.0,0,0,0
YYa,100.0,0,0,0
MHa,100.0,1026.240471111111,1026.240471111111,0
FIb,100.0,0,0,0
FIc,100.0,0,0,0
FIa,100.0,14.244926666666665,14.244926666666665,0
FIf,100.0,0,0,0
FIg,100.0,463.5051427777778,463.5051427777778,0
FId,100.0,0,0,0
FIe,100.0,0,0,0
FIk,100.0,0,0,0
FMd,100.0,1253.0044455555555,1253.0044455555555,0
FIi,100.0,0,0,0
FIn,100.0,0,0,0
FMc,100.0,0,0,0
FIm,100.0,0,0,0
